"TOT_LVG_AREA","SPEC_FEAT_VAL","structure_quality","SUBCNTR_DI","LND_SQFOOT","OCEAN_DIST","CNTR_DIST","HWY_DIST","WATER_DIST","age","RAIL_DIST","SALE_PRC"
4098,0,4,57524.4,7500,1284.8,62834.1,14978.8,386.9,61,7890.7,715000
3089,36292,5,58342.5,4402,813.1,62149.3,15202.9,668.6,1,8363.1,1600000
3089,35539,5,58464.9,4402,809.4,62028.6,15174.2,668,1,8374,1550000
3089,35539,5,58505.6,4402,808.5,61988.4,15164.8,667.3,1,8377.7,1650000
3912,37296,5,60076.1,7290,1224.7,60076.1,14353.5,328.8,19,8063.4,1200000
3678,1292,5,60022.8,5904,1661.2,60022.8,13879.2,151.8,10,7574.6,1385000
2978,31117,5,59988.7,5564,1377.8,59988.7,14132.4,257,9,7847.3,1200000
2626,36208,5,59983.9,5500,762.2,59983.9,14802.7,398.1,10,8556.3,1100000
3482,42460,4,59042.4,13125,865.5,59042.4,14469.2,18.8,30,8385.9,2600000
2674,39943,5,58493.8,8144,3583.8,58493.8,11819.8,336.1,22,5757.2,1650000
3015,34153,5,58415.6,6286,3483.3,58415.6,11865.8,305.3,18,5823.5,1250000
3611,32658,5,58080,5000,3365.7,58080,11958.8,545.1,18,5975.4,1365000
2707,185,4,56623,15963,1094.9,56623,14121.3,0,77,8298.3,2600000
3236,0,5,55656.6,4692,6580.7,55656.6,8745.6,1633.4,17,2951.4,1189900
3143,0,5,55623.9,3912,6630.6,55623.9,8697.5,1682.5,17,2907.1,1100000
2868,23100,5,55735.3,7005,2517.4,55735.3,12826.9,121.3,24,7036.8,1060000
2802,0,5,55711,7000,2470.7,55711,12866.4,134.8,25,7076.8,925000
2553,0,5,55534.4,4002,3163.5,55534.4,12200,322.8,25,6411.9,860000
2802,19250,5,55547.1,5703,2592,55547.1,12752.8,213.5,23,6964.9,9e+05
2486,0,5,55307.9,3063,6293.8,55307.9,9079.9,1421.5,16,3292.2,747000
3041,0,5,55477.8,4071,2603.2,55477.8,12771.4,129.8,23,6983.6,875000
2868,0,5,55450.7,4002,3162.1,55450.7,12200,238.8,25,6412.2,8e+05
2802,0,5,55394,4002,2499,55394,12863.8,11.4,24,7076,940000
2365,0,5,54513.4,3335,6477.3,54513.4,8907.1,1781.3,15,3103.1,750000
3013,0,5,54223.7,4439,5898.8,54223.7,9567,1140.5,15,3750.4,1075000
2633,0,5,54222,4512,5860.7,54222,9607.5,1110,15,3790.5,897000
2586,0,5,54142.4,4466,6228.7,54142.4,9195.6,1356,15,3372,1100000
2365,0,5,53972.6,3036,6557,53972.6,8946.2,1559.1,14,3116.2,842000
4796,31937,5,53750.2,10796,435.7,53750.2,14994.2,312.8,13,9141.4,2400000
1245,1112,2,38203.9,10200,18219,40475.4,10600.3,4147.9,21,1261.4,355000
1069,912,4,38348.8,7540,17791.8,40850.6,10973.8,3772.9,69,1011.1,285000
1101,1110,2,38669.8,10772,18650.5,40728.5,10157.7,3921.7,26,1803.7,252500
1889,5215,2,38801.7,10674,18636.9,40865.2,10159.3,3979.1,69,1862.2,225000
878,158,1,38558.2,7260,17104.6,41420.5,11626,2987.5,67,624.3,108000
1699,5526,2,40700.3,9372,20361.1,41932,8381.5,2966.2,71,4043.3,155000
1249,1214,2,40179.9,7230,18803.6,42198.1,9908.7,4198.9,58,2672.7,118000
1353,2428,2,40581.9,9100,19593.8,42210.5,9146.9,3736.9,67,3444.1,195000
1193,3809,2,40826.7,9450,19905.1,42305.5,8821.9,3506.1,67,3786.6,210000
914,0,1,40533.4,10500,19106.7,42412.5,9621,4225.7,81,3065.7,160000
1879,2945,4,39906.5,8224,17374.4,42654.4,11345.7,2753.2,66,1480.7,155000
2431,23707,4,39998.4,8090,17372.6,42750.2,11347.3,2740.7,46,1522,289000
1167,293,4,40427.6,4950,18038.9,42851,10661.9,3394.6,70,2222.4,180000
1320,4920,2,40003.1,6850,16956.4,42974.8,11794.7,2312.9,0,1208.7,240000
1804,3259,4,40853,8862,19117.8,42745.7,9619.7,4369.5,69,3222.8,250000
1877,1731,2,40449,10725,16928.1,43443.7,11795.4,2283.7,21,1391,260000
1877,1731,2,40449,10725,16928.1,43443.7,11795.4,2283.7,21,1391,285000
1317,906,2,41974,6900,20791.8,43076.7,7957.6,3091.9,26,4963.8,179000
1404,990,2,40272.8,9088,16331.4,43566,12404.7,1687,67,866.9,175000
1228,26063,2,41234.8,9525,18772,43326.6,9953.8,4126.6,21,3137.5,305000
1711,0,2,40861.1,16006,17677.7,43485.8,11010,3032.5,70,2144.3,216000
1617,70,4,40455.9,8960,16331.4,43753.5,12402.5,1686,67,963.9,2e+05
1638,0,4,40743.4,10500,16859.9,43784.9,11870.9,2213.3,21,1484.8,291500
1343,1140,2,40718.6,10500,16779.2,43798.4,11944.3,2132.6,21,1414.7,280000
1546,2761,4,41124.3,7800,17501.4,43861.7,11245.5,2860.2,21,2132.2,269000
1528,2943,4,40928.2,10275,16864,43975.2,11870.9,2226,59,1583.8,266500
1459,1900,2,41709.8,7650,18714.7,43860.3,10005.2,4081.3,21,3299.6,260000
1329,3935,2,41355.3,7800,17808,43951.4,10948.4,3175.7,69,2464.8,180000
2141,1439,4,40946.4,8220,16489,44186.5,12267.9,1873.4,65,1350.1,3e+05
1395,1493,2,42496.7,6850,19711.1,44192.2,9042.9,4153.5,67,4407.2,167500
1055,3042,2,40988.5,9360,15198.7,44847.1,13469.1,985.8,26,713.3,230000
902,880,1,41813.4,9111,17684,44485,11059.2,3171.9,67,2635.5,130000
2389,0,2,41790.3,9111,17612.8,44495.3,11121.5,3102.3,67,2575.4,135000
927,2206,2,42219.8,6227,18537.2,44479.6,10164,4030.7,66,3433.2,122000
1323,1369,2,42072.4,8580,17482.5,44850.7,11256.6,3104.2,66,2673,155000
1551,4466,2,42506.2,8633,18435.6,44831.6,10287.3,4039.2,36,3526.9,160000
1731,75,2,42042.1,7620,15738.2,45667.3,13016.8,2003.5,26,1733.1,247500
1144,4314,1,43977.1,7680,20863.5,45201.1,7890.7,3021,61,5943.4,105000
2206,1565,2,42198.4,9108,15715.4,45836.5,13034.6,2101.4,61,1832.1,185000
1596,33845,2,42373,10560,15839.2,45954.8,12904.6,2289.5,39,2020.4,289000
1192,0,1,43802.1,9000,19831.3,45524.4,8937.9,4062.9,69,5160.6,145000
1796,1083,2,43323.5,8160,18392.6,45719.1,10380.6,4370.3,36,4009.3,180000
1730,3246,2,43714.7,9077,19253.3,45716,9529.5,4651.4,64,4752.3,275000
1682,20511,2,42556.8,10425,15865.8,46134.6,12900.6,2431.8,61,2163.7,240000
1517,2184,2,43589.6,9000,18877.4,45765.6,9901.5,4843,41,4454.1,276000
1154,2445,2,42277.7,9730,14754.4,46370.9,14018.2,1603.9,41,1378,215000
2219,5168,4,42649.5,10425,15723.3,46298.5,13054.2,2425.5,31,2153.2,300033
1424,2852,4,43897.9,9728,19257,45914,9543.7,4656.6,21,4866.6,245000
1399,0,2,42406.3,9730,14761.3,46504.8,14022,1694,66,1464.7,225000
1461,0,4,44368.5,9525,20279.4,45917.8,8529.1,3644.1,21,5764.1,218400
1969,27216,2,42144.4,8775,13444.3,46847.8,15341.4,1067.6,63,564.6,230000
1306,1891,4,43756.5,9525,18463.2,46148,10347.8,4656.2,26,4336.2,228500
2079,23528,2,42721.3,9730,14784.6,46819.1,14034.2,1945.9,66,1693.2,171000
1836,0,2,43710.9,8636,17693.5,46473.4,11145.1,4188.9,68,3914.8,150000
2045,16620,4,42596.4,8500,13855.6,47123.4,14963.9,1535,57,1086.9,278000
1112,648,2,43328.5,10500,16418.4,46679.2,12413.4,3259.3,66,2991,195000
1023,0,1,43849.1,8636,17770.1,46585.1,11073.8,4323.2,69,4049.4,120000
1538,1540,2,43483.3,10500,16506,46802.7,12334.7,3412.2,21,3143,259000
1483,0,2,43441.8,10500,16357.5,46829.5,12481.2,3297.3,31,3035.9,250000
1022,25597,2,44673.1,9506,19775.4,46501.4,9068,4241.8,36,5647.6,240000
1360,3004,2,44566.1,9503,19444.8,46541.8,9406.7,4577.5,41,5399.3,170000
1388,3893,4,44442.7,10500,19081.7,46587.9,9752.1,4921.2,21,5121,235000
1159,23005,2,45141.3,10727,20766.5,46528.7,8075.5,3284.7,31,6505.5,266000
1140,3590,2,45098.6,9506,20646.1,46542.2,8211,3417.3,69,6408.6,210000
1764,20337,4,45074.5,9506,20577.9,46548.1,8268.4,3474,21,6353.6,336500
1665,1036,2,43363.4,10016,15352.9,47229,13492.3,2685.1,65,2437.8,235000
1811,0,2,43674.2,10031,15389.6,47542.5,13473.7,2942.4,66,2662.7,132000
1217,0,2,44525,9315,17411.3,47495.2,11471.4,4578.8,21,4319.3,262000
1046,0,2,45249.6,8100,19352.9,47348.5,9542,4889.8,16,5801.6,229500
1223,23935,1,44158.6,7946,16085.2,47735.5,12810.8,3604.8,67,3362.2,120000
2785,10388,4,45171.4,8100,19112.2,47378.9,9779.3,5121.7,26,5628.4,289900
2138,2280,2,43872.2,12649,14923.3,47967.3,13971.4,2935.6,45,2529.6,210000
1744,2907,4,44545.6,8040,17021.6,47704.8,11888.3,4353.2,36,4124.6,245000
1764,20094,4,45740.4,6527,20064.8,47543.2,8811.2,4270.7,36,6486.7,253500
1871,3115,4,46101.7,9714,20980.5,47500.9,7911.1,3434.3,21,7202.2,241000
1397,15000,4,45928.4,17577,20455.9,47558.8,8384.3,3888.4,46,6811.2,250000
1008,3445,2,45578.3,8723,19412.2,47685.9,9505.4,4958.5,31,6051.5,165000
1239,0,2,45262.8,8712,18426.1,47815.1,10494,5606.7,65,5337.5,205000
1580,2550,2,44945,8712,17364.6,47977.5,11562.6,4795.4,0,4568,240000
1030,0,2,46377.9,13900,21271.7,47668,7606.9,3222.8,31,7532,179000
1167,1719,2,46118.5,7867,20541.8,47737.9,8378.2,3947.3,41,6978.9,145000
1556,0,1,44362.6,9900,15183.3,48378.1,13752.4,3424,61,2973.7,148900
1556,0,1,44362.6,9900,15183.3,48378.1,13752.4,3424,61,2973.7,158000
1556,0,1,44362.6,9900,15183.3,48378.1,13752.4,3424,61,2973.7,177500
1648,1967,4,45878.1,9052,19457.4,47999.9,9484.7,5049.4,36,6272.5,215000
1700,0,4,46434.9,7740,20624.6,48060.4,8336.5,4045.2,41,7225.9,210000
1445,0,2,46019.7,8385,19387.7,48194.3,9580.4,5206.4,62,6329.1,267500
1427,16795,1,45363.9,9042,17196.4,48524.2,11797.9,4796.3,62,4589.1,140000
1427,16795,1,45363.9,9042,17196.4,48524.2,11797.9,4796.3,62,4589.1,165000
1633,0,4,46412.8,12655,20176.4,48249.8,8771.1,4501,21,6987.4,3e+05
2313,0,4,46261.6,8385,19722.5,48303.9,9255.6,4953.8,21,6658,324000
1602,1564,4,46865,7320,20697.9,48514,8316.8,4223.5,31,7544.6,220000
2601,10606,4,46637.5,7800,20034,48580.2,8984.2,4829.4,21,7060.2,3e+05
1542,1940,1,45048.6,9042,14767.7,49317.7,13404.4,3052.2,61,2347.8,170700
1382,0,2,45782.3,9042,17219,48980.1,11766.6,4461.9,21,4350.4,231000
1544,803,4,46933.5,10500,20412,48719.1,8559.6,4528,31,7406.4,217000
1782,3759,2,45680,9042,16836.9,49045.4,12087.4,4161.2,26,3992.4,180000
1163,0,2,45450.7,9042,15916.1,49223.8,12647.7,3509.3,16,3160.9,220000
1811,21650,4,47054.4,7650,20556.9,48797,8453.8,4478.2,16,7518,315000
1302,27824,1,46173.3,8473,17999.5,49042.1,11042.3,5005.3,63,5021.9,150000
2015,461,2,46894.1,7500,19917.3,48928.7,9107,5092.3,21,6857.1,165000
1557,5133,4,45610.9,9042,15855.9,49414.4,12528.2,3326.1,62,3015.2,243000
1362,18000,2,45546.5,9042,15588.2,49466.6,12676.7,3158.3,62,2780.5,249000
1765,0,2,45277.1,10850,14356.4,49731.4,13400.9,2610.7,63,1821.3,227000
1692,426,4,47032.4,7500,19920.4,49073.8,9102.4,5156.6,21,6830,270000
1979,0,4,46980.6,10500,19767.7,49080.5,9210,5249.9,21,6679.5,310000
1043,1870,2,46389.6,7918,17644,49417.9,11148.8,4543.9,62,4593.5,170000
1540,4570,2,46335,9042,17445.5,49455.5,11313.7,4340.9,41,4385.7,235000
1105,588,2,46530.7,8680,17806.6,49485.2,10938.4,4639.2,64,4727.3,170000
1524,968,1,45834,9042,15460.7,49814.8,12489.7,2820.3,64,2510.4,105000
1524,968,1,45834,9042,15460.7,49814.8,12489.7,2820.3,64,2510.4,2e+05
1912,24920,2,46310.1,9042,16858.9,49688.7,11601.8,3768.1,64,3780.8,155000
1912,24920,2,46310.1,9042,16858.9,49688.7,11601.8,3768.1,64,3780.8,170000
2656,0,4,47258.7,12675,19533.4,49487.4,9378,5699.8,36,6376.8,275000
2551,8495,4,47645,8400,20457.5,49479.5,8565,4907.1,21,7293.7,340000
1582,16946,2,46036.6,9042,14943.6,50242.9,12535.3,2246.5,61,1900,150000
1374,0,2,46640.4,9042,16928.3,49995.6,11293.3,3663.1,70,3782.7,155000
1763,0,2,46426.1,9042,16066.8,50151.3,11762.6,2932.8,65,2934.8,215000
2197,2461,4,48083.7,8400,20824.7,49782.1,8148.1,4765.6,21,7629.8,343000
2024,19964,4,47297.9,8250,18290.6,50073.6,10201.7,4816.9,62,5101.9,270000
1598,0,4,47054.2,8910,17329.2,50247.1,10812.2,3882.5,21,4134.7,149000
1598,0,4,47054.2,8910,17329.2,50247.1,10812.2,3882.5,21,4134.7,265000
1994,2201,2,47934.3,8400,19533.1,50196,9005.1,5934.5,21,6321.8,287000
2782,5347,2,47403.2,8645,17927.1,50346.3,10371.4,4394.4,36,4719.2,270000
1642,0,4,47894.9,12691,19319,50242.3,9124.5,5718.1,31,6105.4,2e+05
1651,1528,4,48011.8,8400,19536.8,50277.7,8963.6,5919.8,21,6321.5,284000
1644,2100,2,47555.3,8486,18088.5,50435.5,10185.2,4514.6,31,4874.6,238000
1133,8171,2,47005.1,5000,15977.5,50786.8,11355.4,2527.7,21,2761.4,183000
1553,20772,4,47609.8,6760,17937.7,50554.9,10200.1,4342.8,21,4717.7,3e+05
1892,3063,2,47438.6,5900,16797.4,50880.6,10674,3186.7,21,3573.4,249900
1224,1153,4,47157,4500,15638.4,51087.6,11383.3,2112.3,26,2414.7,197000
1262,0,4,47326,4500,15992.3,51110.3,11097.9,2400,26,2770.3,197000
2327,25490,2,48709.6,7472,20275.6,50695.4,8101.4,5711,46,7053.4,185000
2327,25490,2,48709.6,7472,20275.6,50695.4,8101.4,5711,46,7053.4,220000
1612,21766,2,48877.2,8850,20637.6,50714.6,7760.4,5422.5,36,7416.1,198000
1318,1562,4,47633,4500,16424.2,51242.3,10676,2745.2,21,3212.8,245000
975,912,1,47753.3,5400,16418.2,51367.6,10576.3,2707.1,31,3219,125000
923,1932,2,47684.9,4500,16133.2,51420.5,10755.6,2427.2,36,2937.9,138000
1446,1788,1,47853.5,5850,16620.4,51386.8,10406.5,2890.9,41,3424.6,113500
2127,4969,4,49133,8699,20507.3,51037.8,7715.3,5689.2,21,7298.4,285000
1539,6578,2,48302.3,8956,17973.8,51264.7,9567.2,4224.2,36,4773.5,218000
1105,420,4,47795.2,4500,16236.3,51490.9,10623.4,2506.5,26,3051.4,211000
1663,3102,2,48209.9,6741,17315.5,51460,9850.5,3553.9,21,4132.1,247000
970,2008,2,48004.6,5000,16205.4,51722.6,10466,2432.9,66,3061,110000
1630,19042,4,48619.7,7215,18286.3,51471,9196,4507.8,21,5106.9,294000
1550,1857,4,48345.5,6250,17266.7,51612.2,9767.6,3487.5,26,4105.8,269000
1066,9996,2,48037.7,5000,15788.8,51934.7,10623.4,1997.9,31,2698.5,191500
2262,0,2,47496.5,16561,12979.4,52488.9,12375,0,64,981.6,320000
1098,3074,4,49363.1,6600,19714.2,51646.3,8212.6,5876.7,26,6552.9,209000
1159,1100,2,48217.9,6000,15921.9,52064.2,10431.7,2115.9,36,2868.9,172000
1258,2774,2,49555.6,8072,19902.5,51764.6,7982.6,5947.6,22,6757.1,2e+05
1303,563,2,48911.4,7799,17585.7,52084.4,9161.9,3763.5,31,4512.8,183000
1709,3584,2,49430.1,6890,19089.8,51985.3,8300.6,5226.9,36,5981.3,160000
1143,836,4,49717.9,6435,19985.7,51912,7868.9,5914.1,16,6856.5,195000
988,1890,2,49536.4,6635,19272.2,52020.7,8163.4,5310.8,36,6171.3,165000
1392,34777,4,49710.7,6600,19567.6,52085.4,7922.5,5474.4,16,6471.7,319500
957,480,2,49272,6300,18056.3,52260.9,8721,4217.2,31,5021.3,152000
1518,10278,2,48575.5,6600,15317.3,52686,10460.6,1468.6,26,2582.7,185000
1239,2572,2,49066.5,6000,16866.9,52558.3,9348,3014.1,36,3955.4,175600
1410,546,2,49043.2,6000,16767.5,52575.8,9410.6,2914.2,36,3867.1,165000
1395,0,4,49592.6,6480,18530.5,52406.5,8288.1,4518.7,26,5520.7,274000
1133,2465,2,49014.8,8100,16451.1,52665.4,9569.2,2593.3,31,3609.7,153900
1274,0,2,48918.8,8400,15997.5,52755,9860,2137.5,21,3231.3,211000
1145,1094,2,49165.7,5724,16736.7,52719.2,9336.2,2876.5,36,3893.4,165000
1726,1947,2,48818.8,10440,15069.8,53052.3,10371.9,1214.4,41,2598.5,211000
1194,2100,2,49830.2,8542,18468.1,52680.7,8103.6,4276.6,46,5565.4,150000
1540,19181,4,50508.7,8438,20442.2,52567.5,7047.9,5836.6,16,7425.8,263000
1169,0,2,49277.6,8100,16356.4,52985.7,9426.3,2499.2,36,3666.6,165000
1123,0,2,48535.6,6300,13200.1,53533.9,11662.4,354.1,64,1728.6,185000
1457,2604,2,49481.6,8914,16507.8,53138.2,9205.5,2665.4,36,3878.7,209500
996,0,1,48852.6,7493,13897.7,53559.9,11014.4,541.5,64,2298.1,140000
1336,2270,2,50872.3,7875,20824.6,52802.8,6664.8,5957.4,31,7054.2,180000
1938,0,4,50736.6,6825,20405,52837.8,6849.2,5618.7,31,7338.7,256000
1266,18480,1,48924.5,9517,13930.5,53629,10949.3,612,64,2369.9,160000
1561,0,2,48851.3,8400,13557.2,53710.4,11227.7,611.8,64,2124.7,250000
1680,2827,2,50290.7,7500,18856.2,53019.6,7607.6,4339.7,31,6006.6,225000
1524,2743,2,49051.4,6950,13700.1,53860.4,11019.8,790.7,62,2299.9,160000
1501,1399,2,49561.4,7936,15693.7,53574.8,9544.9,1963.8,31,3446.3,230000
1808,6652,2,50609.6,7500,19182.6,53224.5,7237,4444.1,26,6385.4,235000
1881,3792,2,49285.9,5850,14181.8,53909,10582.7,964.1,31,2740,225000
1400,1361,2,50229.3,7440,17807.5,53400,8043,3310.5,36,5172.5,230000
1560,17106,4,51681.1,7875,21900.9,53227.8,5667.7,5829,41,6014.7,202000
1480,3098,4,51362.3,7875,20881.6,53315.9,6186.2,5652.7,41,6655.6,218000
1313,1419,4,49612.8,7080,14932.6,53938.6,9917.2,1480.7,21,3187.8,254000
1576,2374,4,51232.4,6890,20312.5,53415.6,6419.1,5179.8,31,7001.7,186000
1024,1873,2,50695.2,8056,18632.4,53547.7,7356.2,3821.5,31,5998,175000
1688,420,4,49991.2,5800,16122.6,53848.6,9038.5,2013.3,21,3975.6,270000
1809,2688,2,50589.4,6697,17939.1,53721.8,7730.3,3228.2,46,5451.7,147000
1268,857,2,50509.1,6400,17596.4,53784.1,7937.3,2913.5,31,5177.6,138000
1268,857,2,50509.1,6400,17596.4,53784.1,7937.3,2913.5,31,5177.6,2e+05
1440,704,4,51902.3,15750,21850.8,53486.4,5568.2,5973.7,21,5802.9,289000
1646,21687,4,51561.4,8441,20751.1,53586.9,6020.5,5388.5,16,6558.4,327000
1506,2990,4,50568.8,7314,17327,53958,8027.1,2611.7,62,5041.5,220000
1583,2538,4,50526.7,7980,17151,53984.4,8125.1,2472.9,64,4908.7,160000
1266,2800,4,50511.2,7980,17085.6,53995.6,8170.6,2421.4,64,4860,155000
1279,1378,4,51557.2,6890,19984.2,53902.7,6210.6,4619.7,21,6903,195000
1155,1425,4,52101.6,6500,20366.9,54337,5622.7,4597.1,31,6324.7,149900
1563,1159,2,52749,7983,21511.9,54562.1,4800.1,5322.6,31,5343.3,235000
1439,1201,2,52391.4,7600,18568.4,55380.3,6092.8,2590.6,31,6911.3,232000
1461,4660,2,52354.5,7600,18419.2,55401.5,6190.1,2468,36,6830.7,225000
1553,916,4,52335.9,7600,18343.2,55411.8,6237.1,2405.7,26,6777.9,229000
1120,0,2,52499.7,7600,18650.3,55462.3,5964.8,2589.7,36,6783.2,165800
1245,0,1,55376.8,6750,26237.6,55466.3,1269.7,4958,90,1467.8,145000
1401,226,2,51328.5,8176,13015.3,56463.7,10193.4,217.3,70,2198.4,190000
1217,1748,2,54716,6300,24368.9,55528,2512.4,5922.3,31,2701,185000
1539,1050,2,53559.7,9900,20794.8,55732.3,4256.4,4006.3,62,5041.1,2e+05
1370,3931,2,53496.9,7150,20581,55751.9,4376,3832.2,61,5173.8,2e+05
1091,2999,2,55322.7,6180,25357.4,55791.5,1664.1,5654.9,36,1856.3,143000
1091,0,2,55237.7,6240,25120.3,55795.5,1820.8,5769.6,36,2011.9,190000
1640,5548,2,53977.8,7280,21720.4,55809.2,3632.5,4661.2,31,4321.8,240000
1377,2011,2,54920.8,6649,24272.8,55795.2,2397.1,6212.8,36,2583.9,140000
1545,3623,2,55665.9,6480,26023.5,55897.9,1155.8,5469.7,21,1350.8,210000
1221,1188,2,55530,6480,25656.7,55898.7,1392.6,5626.2,26,1585.7,182000
1229,5021,2,54126.6,9968,21874.9,55908,3467.4,4713.6,31,4144.1,230000
1585,1986,2,52248.4,6300,15313.2,56527.8,8045.8,248.6,31,4506.8,215000
1247,1116,2,52202.6,6785,15062.8,56572.8,8242.2,449.2,41,4271.1,225000
1021,0,2,55542.7,6180,25328.7,56050,1517.1,5913.8,26,1708,199000
1491,42625,2,53439.5,8480,19258,56225,4987.7,2526,41,5805.7,350000
1328,18648,2,52290.4,8750,14835.2,56753.5,8343,716.1,21,4078.6,277000
1552,2131,2,54738.1,5775,23019.2,56112.6,2764.7,5470.8,31,3221.6,160100
1186,17880,2,55774.7,6480,25684.1,56161.6,1192.7,5863.6,26,1384.7,230000
961,3691,2,54829.2,5300,23155.3,56154.8,2707.3,5577.2,80,3106.7,129000
1495,2850,2,55705.1,6180,25403.5,56200.4,1355.8,6020.7,36,1546.3,140000
1369,938,2,54265.6,7280,21508.2,56212.2,3438.2,4227.2,21,4200.1,257500
1484,21105,2,55492,6588,24844.1,56195.2,1730.3,6282.1,21,1918,220000
1151,2072,2,55371.2,6480,24488.5,56207,1960,6461.5,26,2145.9,198000
1135,4261,2,52665.1,6435,15751.1,56786.8,7517.4,104.2,41,4998.8,2e+05
1338,3261,2,54803.4,6200,22839.5,56256.1,2734.8,5254.1,36,3252.2,135000
